2023-09-25T15:09:29+01:00,192.168.1.101,Unknown Network,24.74,3390.00
2023-09-25T15:10:10+01:00,192.168.1.101,Unknown Network,19.91,4213.00
2023-09-25T16:00:31+01:00,172.20.10.3,Unknown Network,0.15,558673.00
2023-09-25T16:30:05+01:00,172.20.10.3,Unknown Network,4.07,20632.00
2023-09-25T19:17:18+01:00,192.168.1.101,Unknown Network,28.99,2893.00
2023-09-25T22:13:18+01:00,192.168.1.101,Unknown Network,25.89,3240.00
2023-09-26T08:48:22+01:00,192.168.0.110,Unknown Network,17.29,4852.00
2023-09-26T08:55:03+01:00,192.168.0.110,Unknown Network,21.69,3867.00
2023-09-27T12:15:25+01:00,192.168.1.101,Unknown Network,8.65,9697.00
2023-09-27T12:35:19+01:00,192.168.1.101,Unknown Network,36.31,2310.00
2023-09-27T12:35:25+01:00,192.168.1.101,Unknown Network,40.89,2051.00
2023-09-27T13:25:26+01:00,192.168.1.101,Unknown Network,17.44,4810.00
2023-09-27T13:52:37+01:00,192.168.1.101,Unknown Network,27.77,3020.00
2023-09-27T15:47:49+01:00,192.168.105.246,Unknown Network,19.52,4297.00
